Species,Conservation method,Rundvekt
"Cartilaginous fish (sharks, rays, skates)",Frozen,344.32301
"Cartilaginous fish (sharks, rays, skates)",Ice/slurry/passive chilling,1580.83666
"Cartilaginous fish (sharks, rays, skates)",RSW/RFW,136.16
Cod and codfishes,Frozen,424143.47464
Cod and codfishes,Ice/slurry/passive chilling,373578.4199
Cod and codfishes,Other,648.1875799999999
Cod and codfishes,RSW/RFW,3532.976
"Flatfish, groundfish",Frozen,34791.25681
"Flatfish, groundfish",Ice/slurry/passive chilling,20189.30196
"Flatfish, groundfish",Other,42401.4479
"Flatfish, groundfish",RSW/RFW,305.812
Macroalgae/seaweed,Ice/slurry/passive chilling,160432.525
Pelagic fish,Frozen,5493.6922
Pelagic fish,Ice/slurry/passive chilling,38226.48567
Pelagic fish,Other,158.488
Pelagic fish,RSW/RFW,1465222.68696
Shellfish,Frozen,34036.92662
Shellfish,Ice/slurry/passive chilling,249288.26309
Shellfish,Other,13185.3754
Shellfish,RSW/RFW,89.862
